Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Jim Montgomery,0.662,0.748,0.557,0.701,113,83,3,0,"['Dallas Stars', 'Boston Bruins']"
Dean Evason,0.628,0.703,0.551,0.667,180,113,4,0,['Minnesota Wild']
Sheldon Keefe,0.625,0.679,0.573,0.683,216,135,4,0,['Toronto Maple Leafs']
Jay Woodcroft,0.623,0.694,0.545,0.652,69,43,2,0,['Edmonton Oilers']
Jon Cooper,0.609,0.673,0.544,0.65,744,453,11,2,['Tampa Bay Lightning']
Rod Brind'Amour,0.603,0.64,0.567,0.656,317,191,5,0,['Carolina Hurricanes']
Bruce Cassidy,0.576,0.575,0.575,0.625,399,314,9,0,"['Boston Bruins', 'Washington Capitals', 'Vegas Golden Knights']"
Lane Lambert,0.567,0.6,0.533,0.583,30,17,1,0,['New York Islanders']
Bruce Boudreau,0.562,0.6,0.523,0.624,329,612,16,0,"['Washington Capitals', 'Anaheim Ducks', 'Minnesota Wild', 'Vancouver Canucks']"
Jared Bednar,0.529,0.588,0.471,0.579,482,255,7,1,['Colorado Avalanche']
Peter Laviolette,0.526,0.546,0.505,0.588,272,732,21,1,"['Philadelphia Flyers', 'New York Islanders', 'Washington Capitals', 'Carolina Hurricanes', 'Nashville Predators']"
Peter DeBoer,0.524,0.554,0.495,0.588,248,531,16,0,"['New Jersey Devils', 'San Jose Sharks', 'Florida Panthers', 'Vegas Golden Knights', 'Dallas Stars']"
Gerard Gallant,0.517,0.571,0.464,0.566,186,338,11,0,"['Florida Panthers', 'Columbus Blue Jackets', 'Vegas Golden Knights', 'New York Rangers']"
Craig Berube,0.515,0.583,0.447,0.589,161,246,7,1,"['Philadelphia Flyers', 'St. Louis Blues']"
Darryl Sutter,0.507,0.561,0.452,0.575,216,712,21,2,"['Chicago Blackhawks', 'Los Angeles Kings', 'Calgary Flames', 'Calgary Flames', 'San Jose Sharks']"
Mike Sullivan,0.507,0.541,0.472,0.592,164,385,10,2,"['Boston Bruins', 'Pittsburgh Penguins']"
Todd McLellan,0.498,0.545,0.452,0.554,241,544,15,0,"['Los Angeles Kings', 'Edmonton Oilers', 'San Jose Sharks']"
John Hynes,0.48,0.524,0.435,0.53,354,254,9,0,"['New Jersey Devils', 'Nashville Predators']"
Lindy Ruff,0.464,0.492,0.436,0.526,328,803,22,0,"['Dallas Stars', 'Buffalo Sabres', 'New Jersey Devils']"
Paul Maurice,0.462,0.516,0.408,0.528,164,789,25,0,"['Toronto Maple Leafs', 'Carolina Hurricanes', 'Carolina Hurricanes', 'Winnipeg Jets', 'Florida Panthers']"
Derek Lalonde,0.448,0.467,0.429,0.552,29,13,1,0,['Detroit Red Wings']
Dave Hakstol,0.436,0.479,0.392,0.494,277,177,6,0,"['Philadelphia Flyers', 'Seattle Kraken']"
Brad Larsen,0.423,0.483,0.353,0.464,111,47,2,0,['Columbus Blue Jackets']
Martin St. Louis,0.418,0.361,0.484,0.463,67,28,2,0,['Montréal Canadiens']
D.J. Smith,0.395,0.451,0.336,0.45,238,94,4,0,['Ottawa Senators']
Don Granato,0.393,0.417,0.368,0.45,140,55,3,0,['Buffalo Sabres']
David Quinn,0.392,0.332,0.457,0.462,208,106,4,0,"['New York Rangers', 'San Jose Sharks']"
John Tortorella,0.377,0.42,0.333,0.457,4,683,21,1,"['New York Rangers', 'New York Rangers', 'Vancouver Canucks', 'Tampa Bay Lightning', 'Columbus Blue Jackets', 'Philadelphia Flyers']"
Rick Bowness,0.362,0.428,0.3,0.429,80,230,13,0,"['Boston Bruins', 'Dallas Stars', 'New York Islanders', 'Winnipeg Jets (1979)', 'Phoenix Coyotes', 'Ottawa Senators', 'Winnipeg Jets']"
Dallas Eakins,0.336,0.369,0.303,0.404,113,121,6,0,"['Edmonton Oilers', 'Anaheim Ducks']"
André Tourigny,0.312,0.298,0.323,0.362,109,34,2,0,['Arizona Coyotes']
Luke Richardson,0.241,0.25,0.231,0.31,29,7,1,0,['Chicago Blackhawks']
