Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Peter Laviolette,Carolina Hurricanes,0.64,0.714,0.545,0.64,16,1,1
Jared Bednar,Colorado Avalanche,0.635,0.656,0.613,0.643,40,5,1
Darryl Sutter,Los Angeles Kings,0.609,0.667,0.556,0.609,42,4,2
Jon Cooper,Tampa Bay Lightning,0.604,0.589,0.621,0.604,84,8,2
Gerard Gallant,Vegas Golden Knights,0.593,0.692,0.5,0.593,16,2,0
Peter DeBoer,New Jersey Devils,0.583,0.636,0.538,0.583,14,1,0
Lindy Ruff,Buffalo Sabres,0.564,0.612,0.519,0.564,57,8,0
Peter DeBoer,Vegas Golden Knights,0.564,0.619,0.5,0.564,22,2,0
Bruce Boudreau,Anaheim Ducks,0.558,0.583,0.526,0.558,24,4,0
Darryl Sutter,Calgary Flames,0.545,0.438,0.647,0.545,18,2,0
Todd McLellan,Edmonton Oilers,0.538,0.5,0.571,0.538,7,1,0
Jim Montgomery,Dallas Stars,0.538,0.5,0.571,0.538,7,1,0
Mike Sullivan,Pittsburgh Penguins,0.537,0.595,0.475,0.537,44,7,2
John Tortorella,Tampa Bay Lightning,0.533,0.522,0.545,0.533,24,4,1
Rick Bowness,Boston Bruins,0.533,0.5,0.571,0.533,8,1,0
Peter DeBoer,San Jose Sharks,0.533,0.613,0.448,0.533,32,4,0
Rick Bowness,Dallas Stars,0.529,0.467,0.579,0.529,18,2,0
Peter Laviolette,Nashville Predators,0.525,0.633,0.419,0.525,32,5,0
Peter Laviolette,Philadelphia Flyers,0.511,0.609,0.409,0.511,23,3,0
Rod Brind'Amour,Carolina Hurricanes,0.5,0.68,0.304,0.5,24,4,0
Jay Woodcroft,Edmonton Oilers,0.5,0.5,0.5,0.5,8,1,0
Gerard Gallant,New York Rangers,0.5,0.8,0.2,0.5,10,1,0
Bruce Cassidy,Boston Bruins,0.493,0.486,0.5,0.493,36,6,0
Paul Maurice,Carolina Hurricanes,0.486,0.471,0.5,0.486,17,3,0
Todd McLellan,San Jose Sharks,0.484,0.581,0.387,0.484,30,6,0
Lindy Ruff,Dallas Stars,0.474,0.5,0.444,0.474,9,2,0
Craig Berube,St. Louis Blues,0.471,0.308,0.64,0.48,24,4,1
Bruce Boudreau,Washington Capitals,0.46,0.476,0.438,0.46,17,4,0
Paul Maurice,Carolina Hurricanes,0.444,0.5,0.4,0.444,8,1,0
John Tortorella,New York Rangers,0.432,0.571,0.304,0.432,19,4,0
Darryl Sutter,San Jose Sharks,0.429,0.45,0.409,0.429,18,5,0
Mike Sullivan,Boston Bruins,0.429,0.5,0.333,0.429,3,1,0
Craig Berube,Philadelphia Flyers,0.429,0.667,0.25,0.429,3,1,0
Todd McLellan,Los Angeles Kings,0.429,0.333,0.5,0.429,3,1,0
Darryl Sutter,Chicago Blackhawks,0.423,0.538,0.308,0.423,11,3,0
Sheldon Keefe,Toronto Maple Leafs,0.421,0.364,0.5,0.421,8,3,0
John Tortorella,Columbus Blue Jackets,0.419,0.357,0.471,0.419,13,4,0
Darryl Sutter,Calgary Flames,0.417,0.571,0.2,0.417,5,1,0
Paul Maurice,Winnipeg Jets,0.41,0.35,0.474,0.41,16,5,0
Dean Evason,Minnesota Wild,0.353,0.25,0.444,0.353,6,3,0
Bruce Cassidy,Washington Capitals,0.333,,0.667,0.333,2,1,0
Gerard Gallant,Florida Panthers,0.333,0.333,0.333,0.333,2,1,0
Peter Laviolette,New York Islanders,0.333,0.6,0.143,0.333,4,2,0
Dave Hakstol,Philadelphia Flyers,0.333,0.167,0.5,0.333,4,2,0
Peter Laviolette,Washington Capitals,0.273,0.333,0.2,0.273,3,2,0
John Hynes,Nashville Predators,0.214,0.429,,0.214,3,3,0
Bruce Boudreau,Minnesota Wild,0.2,0.2,0.2,0.2,2,2,0
John Hynes,New Jersey Devils,0.2,0.5,,0.2,1,1,0
David Quinn,New York Rangers,0.0,,,,0,1,0
