Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Tom Johnson,0.683,0.745,0.618,0.738,208,142,3,1,['Boston Bruins']
Dan Bylsma,0.628,0.675,0.582,0.668,401,252,6,1,['Pittsburgh Penguins']
Sheldon Keefe,0.625,0.679,0.573,0.683,216,135,4,0,['Toronto Maple Leafs']
Bruce Cassidy,0.614,0.663,0.564,0.672,399,245,6,0,['Boston Bruins']
Jon Cooper,0.609,0.673,0.544,0.65,744,453,11,2,['Tampa Bay Lightning']
Rod Brind'Amour,0.603,0.64,0.567,0.656,317,191,5,0,['Carolina Hurricanes']
Floyd Smith,0.596,0.692,0.5,0.671,240,143,3,0,['Buffalo Sabres']
Mike Sullivan,0.587,0.668,0.506,0.641,537,315,8,2,['Pittsburgh Penguins']
Don Cherry,0.578,0.685,0.47,0.657,400,231,5,0,['Boston Bruins']
Bruce Boudreau,0.574,0.63,0.519,0.633,329,567,14,0,"['Washington Capitals', 'Anaheim Ducks', 'Minnesota Wild']"
Glen Sather,0.565,0.656,0.474,0.628,782,442,10,4,['Edmonton Oilers']
Craig Berube,0.564,0.585,0.545,0.625,303,171,5,1,['St. Louis Blues']
Tommy Ivan,0.557,0.634,0.481,0.653,470,262,7,3,['Detroit Red Wings']
Fred Shero,0.556,0.737,0.376,0.642,554,308,7,2,['Philadelphia Flyers']
Gerard Gallant,0.554,0.615,0.49,0.601,213,118,3,0,['Vegas Golden Knights']
Scotty Bowman,0.553,0.64,0.467,0.632,634,1102,27,8,"['Montréal Canadiens', 'Detroit Red Wings', 'St. Louis Blues', 'Buffalo Sabres']"
Cecil Hart,0.552,0.634,0.47,0.642,268,148,6,2,['Montréal Canadiens']
Toe Blake,0.547,0.643,0.451,0.634,914,500,13,8,['Montréal Canadiens']
Gerry Cheevers,0.543,0.624,0.46,0.604,376,204,5,0,['Boston Bruins']
Barry Trotz,0.539,0.598,0.481,0.599,288,914,23,1,"['New York Islanders', 'Washington Capitals', 'Nashville Predators']"
Guy Carbonneau,0.539,0.607,0.475,0.589,230,124,3,0,['Montréal Canadiens']
Joel Quenneville,0.539,0.599,0.479,0.602,797,890,22,3,"['Chicago Blackhawks', 'St. Louis Blues', 'Colorado Avalanche']"
Mike Babcock,0.538,0.571,0.505,0.603,351,631,15,1,"['Toronto Maple Leafs', 'Detroit Red Wings']"
Mike Keenan,0.536,0.644,0.428,0.59,320,343,8,0,"['Chicago Blackhawks', 'Philadelphia Flyers']"
Peter Laviolette,0.533,0.574,0.492,0.591,272,560,16,1,"['Philadelphia Flyers', 'Carolina Hurricanes', 'Nashville Predators']"
Jared Bednar,0.529,0.588,0.471,0.579,482,255,7,1,['Colorado Avalanche']
Patrick Roy,0.528,0.537,0.52,0.577,246,130,3,0,['Colorado Avalanche']
Ken Hitchcock,0.527,0.569,0.486,0.598,503,781,21,1,"['Dallas Stars', 'Philadelphia Flyers', 'St. Louis Blues', 'Columbus Blue Jackets']"
Jean Perron,0.525,0.65,0.4,0.588,240,126,3,1,['Montréal Canadiens']
