Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Glen Sather,0.706,0.771,0.625,0.706,126,89,10,4,['Edmonton Oilers']
Toe Blake,0.689,0.809,0.554,0.689,119,82,13,8,['Montréal Canadiens']
Claude Ruel,0.659,0.688,0.657,0.659,14,18,3,1,"['Montréal Canadiens', 'Montréal Canadiens']"
Jared Bednar,0.635,0.656,0.613,0.643,63,40,5,1,['Colorado Avalanche']
Jean Perron,0.625,0.654,0.591,0.625,48,30,3,1,['Montréal Canadiens']
Hap Day,0.613,0.615,0.61,0.613,80,49,9,5,['Toronto Maple Leafs']
Jon Cooper,0.604,0.589,0.621,0.604,139,84,8,2,['Tampa Bay Lightning']
Scotty Bowman,0.601,0.694,0.509,0.601,98,223,28,9,"['Montréal Canadiens', 'Pittsburgh Penguins', 'Buffalo Sabres', 'Detroit Red Wings', 'St. Louis Blues', 'Buffalo Sabres']"
Bob Johnson,0.574,0.635,0.51,0.574,24,41,6,1,"['Pittsburgh Penguins', 'Calgary Flames']"
Jacques Demers,0.572,0.642,0.5,0.572,27,55,8,1,"['Montréal Canadiens', 'Detroit Red Wings', 'St. Louis Blues']"
Fred Shero,0.567,0.694,0.446,0.567,83,63,8,2,"['Philadelphia Flyers', 'New York Rangers']"
Don Cherry,0.564,0.714,0.407,0.564,55,31,5,0,['Boston Bruins']
Peter DeBoer,0.56,0.623,0.496,0.56,24,68,7,0,"['New Jersey Devils', 'Vegas Golden Knights', 'San Jose Sharks']"
Glen Sonmor,0.554,0.39,0.686,0.554,9,26,4,0,"['Minnesota North Stars', 'Minnesota North Stars']"
Mike Babcock,0.553,0.663,0.454,0.553,21,90,14,1,"['Anaheim Ducks', 'Detroit Red Wings', 'Toronto Maple Leafs']"
Dan Bylsma,0.551,0.55,0.553,0.551,78,43,6,1,['Pittsburgh Penguins']
Pete Green,0.545,0.75,0.321,0.557,22,14,6,3,"['Ottawa Senators (1917)', 'Montréal Canadiens']"
Mike Keenan,0.538,0.643,0.442,0.538,23,96,13,1,"['New York Rangers', 'Philadelphia Flyers', 'Chicago Blackhawks', 'St. Louis Blues', 'Calgary Flames']"
Jimmy Skinner,0.538,0.786,0.25,0.538,26,14,3,1,['Detroit Red Wings']
Tommy Ivan,0.537,0.568,0.5,0.537,67,36,7,3,['Detroit Red Wings']
Michel Therrien,0.533,0.574,0.49,0.533,25,38,6,0,"['Pittsburgh Penguins', 'Montréal Canadiens', 'Montréal Canadiens']"
Dick Irvin,0.532,0.678,0.39,0.553,9,100,24,4,"['Chicago Blackhawks', 'Montréal Canadiens', 'Toronto Maple Leafs']"
Rick Bowness,0.531,0.483,0.575,0.531,15,26,3,0,"['Boston Bruins', 'Dallas Stars']"
Craig MacTavish,0.528,0.588,0.474,0.528,36,19,3,0,['Edmonton Oilers']
Lindy Ruff,0.519,0.556,0.482,0.519,101,66,10,0,"['Buffalo Sabres', 'Dallas Stars']"
Al MacNeil,0.517,0.707,0.352,0.517,20,22,4,1,"['Montréal Canadiens', 'Calgary Flames']"
Pat Burns,0.517,0.66,0.368,0.517,29,78,11,1,"['New Jersey Devils', 'Montréal Canadiens', 'Toronto Maple Leafs', 'Boston Bruins']"
John Muckler,0.516,0.6,0.442,0.516,40,36,6,1,"['Edmonton Oilers', 'Buffalo Sabres']"
Barry Trotz,0.508,0.55,0.464,0.508,49,83,14,1,"['New York Islanders', 'Washington Capitals', 'Nashville Predators']"
Alain Vigneault,0.505,0.48,0.529,0.505,16,78,12,0,"['Philadelphia Flyers', 'New York Rangers', 'Vancouver Canucks', 'Montréal Canadiens']"
Colin Campbell,0.5,0.5,0.5,0.5,36,18,3,0,['New York Rangers']
Floyd Smith,0.5,0.765,0.2,0.5,32,16,3,0,['Buffalo Sabres']
Rod Brind'Amour,0.5,0.68,0.304,0.5,48,24,4,0,['Carolina Hurricanes']
