Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Cap Raeder,1.0,0.0,1.0,1.0,1,1,1,0,['San Jose Sharks']
Barry Smith/Dave Lewis,0.8,1.0,0.5,0.8,5,4,1,0,['Detroit Red Wings']
Tom Johnson,0.683,0.745,0.618,0.738,208,142,3,1,['Boston Bruins']
Andrew Brunette,0.68,0.806,0.564,0.72,75,51,1,0,['Florida Panthers']
Alex Currie,0.667,0.833,0.5,0.722,36,24,1,0,['Ottawa Senators (1917)']
Alf Smith,0.667,0.889,0.444,0.667,18,12,1,0,['Ottawa Senators (1917)']
Jim Montgomery,0.662,0.748,0.557,0.701,113,83,3,0,"['Dallas Stars', 'Boston Bruins']"
Lou Lamoriello,0.641,0.731,0.556,0.689,53,34,2,0,['New Jersey Devils']
Jimmy Gardner,0.633,0.8,0.467,0.65,30,19,1,0,['Hamilton Tigers']
Dean Evason,0.628,0.703,0.551,0.667,180,113,4,0,['Minnesota Wild']
Pete Green,0.627,0.787,0.467,0.64,150,94,6,3,['Ottawa Senators (1917)']
Frank Carroll,0.625,0.75,0.5,0.625,24,15,1,0,['Toronto St. Patricks']
Sheldon Keefe,0.625,0.679,0.573,0.683,216,135,4,0,['Toronto Maple Leafs']
Jay Woodcroft,0.623,0.694,0.545,0.652,69,43,2,0,['Edmonton Oilers']
Jon Cooper,0.609,0.673,0.544,0.65,744,453,11,2,['Tampa Bay Lightning']
Cooney Weiland,0.604,0.729,0.479,0.698,96,58,2,1,['Boston Bruins']
Rod Brind'Amour,0.603,0.64,0.567,0.656,317,191,5,0,['Carolina Hurricanes']
Harry Sinden,0.592,0.713,0.459,0.643,296,153,6,1,"['Boston Bruins', 'Boston Bruins', 'Boston Bruins']"
Todd Reirden,0.589,0.568,0.61,0.642,151,89,2,0,['Washington Capitals']
Harvey Sproule,0.583,0.5,0.667,0.583,12,7,1,0,['Toronto St. Patricks']
Al Arbour,0.582,0.643,0.27,0.647,107,782,23,4,"['St. Louis Blues', 'New York Islanders', 'New York Islanders', 'New York Islanders']"
Bruce Cassidy,0.576,0.575,0.575,0.625,399,314,9,0,"['Boston Bruins', 'Washington Capitals', 'Vegas Golden Knights']"
Claude Ruel,0.568,0.704,0.432,0.65,175,172,5,1,"['Montréal Canadiens', 'Montréal Canadiens']"
Lane Lambert,0.567,0.6,0.533,0.583,30,17,1,0,['New York Islanders']
Scotty Bowman,0.563,0.647,0.48,0.64,634,1244,30,9,"['Montréal Canadiens', 'Detroit Red Wings', 'Pittsburgh Penguins', 'St. Louis Blues', 'Buffalo Sabres', 'Buffalo Sabres']"
Bruce Boudreau,0.562,0.6,0.523,0.624,329,612,16,0,"['Washington Capitals', 'Anaheim Ducks', 'Minnesota Wild', 'Vancouver Canucks']"
Joel Quenneville,0.554,0.603,0.504,0.613,797,969,25,3,"['Chicago Blackhawks', 'St. Louis Blues', 'Colorado Avalanche', 'Florida Panthers']"
Toe Blake,0.547,0.643,0.451,0.634,914,500,13,8,['Montréal Canadiens']
Gerry Cheevers,0.543,0.624,0.46,0.604,376,204,5,0,['Boston Bruins']
Barry Trotz,0.539,0.598,0.481,0.599,288,914,23,1,"['New York Islanders', 'Washington Capitals', 'Nashville Predators']"
Guy Carbonneau,0.539,0.607,0.475,0.589,230,124,3,0,['Montréal Canadiens']
Alex Romeril,0.538,0.571,0.5,0.577,13,7,1,0,['Toronto St. Patricks']
