Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Claude Ruel,Montréal Canadiens,0.857,1.0,0.714,0.857,12,1,1
Leo Dandurand,Montréal Canadiens,0.75,1.0,0.5,0.75,9,2,1
Tommy Gorman,Chicago Blackhawks,0.75,0.5,1.0,0.812,6,1,1
Scotty Bowman,Montréal Canadiens,0.714,0.769,0.652,0.714,70,8,5
Mike Babcock,Anaheim Ducks,0.714,0.9,0.545,0.714,15,1,0
Glen Sather,Edmonton Oilers,0.706,0.771,0.625,0.706,89,10,4
Jacques Demers,Montréal Canadiens,0.704,0.786,0.615,0.704,19,2,1
Bill Stewart,Chicago Blackhawks,0.7,1.0,0.5,0.7,7,1,1
Scotty Bowman,Pittsburgh Penguins,0.697,0.765,0.625,0.697,23,2,1
Mike Keenan,New York Rangers,0.696,0.692,0.7,0.696,16,1,1
Toe Blake,Montréal Canadiens,0.689,0.809,0.554,0.689,82,13,8
Tom Johnson,Boston Bruins,0.682,0.667,0.7,0.682,15,2,1
Bob Johnson,Pittsburgh Penguins,0.667,0.692,0.636,0.667,16,1,1
Larry Robinson,New Jersey Devils,0.646,0.542,0.75,0.646,31,2,1
Scotty Bowman,Buffalo Sabres,0.643,0.714,0.571,0.643,9,1,0
Harry Sinden,Boston Bruins,0.643,0.786,0.5,0.643,18,3,1
Scotty Bowman,Detroit Red Wings,0.642,0.686,0.594,0.642,86,9,3
Peter Laviolette,Carolina Hurricanes,0.64,0.714,0.545,0.64,16,1,1
Al Arbour,New York Islanders,0.637,0.753,0.523,0.637,109,12,4
Gene Ubriaco,Pittsburgh Penguins,0.636,0.667,0.6,0.636,7,1,0
Jared Bednar,Colorado Avalanche,0.635,0.656,0.613,0.643,40,5,1
Jean Perron,Montréal Canadiens,0.625,0.654,0.591,0.625,30,3,1
John Muckler,Edmonton Oilers,0.625,0.7,0.55,0.625,25,2,1
Alain Vigneault,Philadelphia Flyers,0.625,0.5,0.75,0.625,10,1,0
Bob Hartley,Colorado Avalanche,0.613,0.619,0.605,0.613,49,4,1
Hap Day,Toronto Maple Leafs,0.613,0.615,0.61,0.613,49,9,5
Guy Boucher,Tampa Bay Lightning,0.611,0.625,0.6,0.611,11,1,0
Darryl Sutter,Los Angeles Kings,0.609,0.667,0.556,0.609,42,4,2
Terry Murray,Philadelphia Flyers,0.609,0.583,0.636,0.609,28,3,0
Jacques Lemaire,New Jersey Devils,0.607,0.607,0.607,0.607,34,4,1
Jon Cooper,Tampa Bay Lightning,0.604,0.589,0.621,0.604,84,8,2
Dan Maloney,Toronto Maple Leafs,0.6,0.75,0.5,0.6,6,1,0
Al MacNeil,Montréal Canadiens,0.6,0.778,0.455,0.6,12,1,1
Michel Therrien,Pittsburgh Penguins,0.6,0.692,0.5,0.6,15,2,0
Marc Crawford,Colorado Avalanche,0.596,0.704,0.48,0.596,31,4,1
Terry Crisp,Calgary Flames,0.595,0.7,0.471,0.595,22,3,1
Joel Quenneville,Chicago Blackhawks,0.594,0.703,0.484,0.594,76,9,3
Gerard Gallant,Vegas Golden Knights,0.593,0.692,0.5,0.593,16,2,0
Dominique Ducharme,Montréal Canadiens,0.591,0.6,0.583,0.591,13,1,0
Pete Green,Ottawa Senators (1917),0.591,0.5,0.643,0.614,13,5,3
Travis Green,Vancouver Canucks,0.588,0.375,0.778,0.588,10,1,0
Cooney Weiland,Boston Bruins,0.588,0.667,0.5,0.588,10,2,1
Claude Julien,Boston Bruins,0.588,0.654,0.511,0.588,57,7,1
Ken Hitchcock,Dallas Stars,0.588,0.651,0.513,0.588,47,5,1
