Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Cap Raeder,San Jose Sharks,1.0,,1.0,1.0,1,1,0
Al Arbour,New York Islanders,1.0,1.0,,1.0,1,1,0
Harry Sinden,Boston Bruins,0.857,1.0,0.667,0.857,6,1,0
Jim Montgomery,Boston Bruins,0.857,1.0,0.667,0.857,18,1,0
Barry Smith/Dave Lewis,Detroit Red Wings,0.8,1.0,0.5,0.8,4,1,0
Bruce Cassidy,Vegas Golden Knights,0.696,0.583,0.818,0.717,16,1,0
Bep Guidolin,Boston Bruins,0.692,0.84,0.556,0.736,72,2,0
Tom Johnson,Boston Bruins,0.683,0.745,0.618,0.738,142,3,1
Andrew Brunette,Florida Panthers,0.68,0.806,0.564,0.72,51,1,0
Alex Currie,Ottawa Senators (1917),0.667,0.833,0.5,0.722,24,1,0
Alf Smith,Ottawa Senators (1917),0.667,0.889,0.444,0.667,12,1,0
Scotty Bowman,Montréal Canadiens,0.661,0.741,0.58,0.744,419,8,5
Lane Lambert,New York Islanders,0.652,0.727,0.583,0.652,15,1,0
Kevin Constantine,New Jersey Devils,0.645,0.6,0.688,0.694,20,1,0
Lou Lamoriello,New Jersey Devils,0.641,0.731,0.556,0.689,34,2,0
Jimmy Gardner,Hamilton Tigers,0.633,0.8,0.467,0.65,19,1,0
Rick Bowness,Winnipeg Jets,0.632,0.778,0.5,0.658,12,1,0
Dan Bylsma,Pittsburgh Penguins,0.628,0.675,0.582,0.668,252,6,1
Pete Green,Ottawa Senators (1917),0.627,0.787,0.467,0.64,94,6,3
Jay Woodcroft,Edmonton Oilers,0.627,0.7,0.552,0.652,37,2,0
Barry Trotz,Washington Capitals,0.625,0.683,0.567,0.677,205,4,1
Frank Carroll,Toronto St. Patricks,0.625,0.75,0.5,0.625,15,1,0
Sheldon Keefe,Toronto Maple Leafs,0.62,0.667,0.576,0.678,129,4,0
Mike Keenan,New York Rangers,0.619,0.667,0.571,0.667,52,1,1
Art Ross,Boston Bruins,0.618,0.653,0.583,0.674,89,3,1
Dean Evason,Minnesota Wild,0.618,0.682,0.553,0.659,105,4,0
Bruce Cassidy,Boston Bruins,0.614,0.663,0.564,0.672,245,6,0
Peter DeBoer,Vegas Golden Knights,0.613,0.646,0.58,0.65,98,3,0
Bruce Boudreau,Washington Capitals,0.611,0.681,0.54,0.672,201,5,0
Jon Cooper,Tampa Bay Lightning,0.607,0.67,0.543,0.649,446,11,2
Cooney Weiland,Boston Bruins,0.604,0.729,0.479,0.698,58,2,1
Ken Hitchcock,St. Louis Blues,0.601,0.646,0.552,0.65,248,6,0
Terry Crisp,Calgary Flames,0.6,0.717,0.483,0.669,144,3,1
Joel Quenneville,Florida Panthers,0.599,0.618,0.578,0.648,79,3,0
Rod Brind'Amour,Carolina Hurricanes,0.597,0.638,0.557,0.65,185,5,0
Floyd Smith,Buffalo Sabres,0.596,0.692,0.5,0.671,143,3,0
Gerard Gallant,New York Rangers,0.596,0.596,0.596,0.644,62,2,0
Claude Julien,New Jersey Devils,0.595,0.615,0.575,0.646,47,1,0
Mike Keenan,Philadelphia Flyers,0.594,0.713,0.475,0.637,190,4,0
Brent Sutter,New Jersey Devils,0.592,0.646,0.537,0.625,97,2,0
Claude Ruel,Montréal Canadiens,0.592,0.769,0.415,0.669,77,2,0
Bruce Boudreau,Anaheim Ducks,0.591,0.64,0.542,0.648,208,5,0
Todd Reirden,Washington Capitals,0.589,0.568,0.61,0.642,89,2,0
Bryan Murray,Ottawa Senators,0.588,0.64,0.538,0.643,107,3,0
Jacques Lemaire,New Jersey Devils,0.588,0.657,0.516,0.626,77,2,0
Scotty Bowman,Buffalo Sabres,0.588,0.675,0.5,0.688,47,1,0
Dave Lewis,Detroit Red Wings,0.585,0.707,0.463,0.668,96,2,0
Scotty Bowman,Detroit Red Wings,0.585,0.651,0.518,0.655,410,9,3
Mike Babcock,Detroit Red Wings,0.583,0.616,0.55,0.649,458,10,1
Harvey Sproule,Toronto St. Patricks,0.583,0.5,0.667,0.583,7,1,0
Mike Sullivan,Pittsburgh Penguins,0.582,0.664,0.502,0.636,308,8,2
Alain Vigneault,Vancouver Canucks,0.58,0.63,0.53,0.632,313,7,0
Scotty Bowman,Pittsburgh Penguins,0.579,0.646,0.512,0.628,95,2,1
Don Cherry,Boston Bruins,0.578,0.685,0.47,0.657,231,5,0
Bob McCammon,Philadelphia Flyers,0.577,0.671,0.482,0.637,97,3,0
Todd McLellan,San Jose Sharks,0.576,0.648,0.504,0.637,311,7,0
Craig Berube,St. Louis Blues,0.57,0.599,0.543,0.631,167,5,1
Joel Quenneville,Chicago Blackhawks,0.567,0.616,0.519,0.627,452,11,3
Glen Sather,Edmonton Oilers,0.565,0.656,0.474,0.628,442,10,4
Al MacNeil,Montréal Canadiens,0.564,0.724,0.385,0.645,31,1,1
Robbie Ftorek,New Jersey Devils,0.564,0.57,0.558,0.641,88,2,0
Mike Milbury,Boston Bruins,0.562,0.613,0.512,0.628,90,2,0
John Paddock,Ottawa Senators,0.562,0.559,0.567,0.609,36,1,0
Bob Gainey,Montréal Canadiens,0.561,0.571,0.55,0.598,23,1,0
Marc Crawford,Quebec Nordiques,0.561,0.612,0.51,0.631,165,4,1
Bill Peters,Calgary Flames,0.56,0.615,0.509,0.61,61,2,0
Phil Esposito,New York Rangers,0.558,0.522,0.6,0.558,24,1,0
Terry Murray,Philadelphia Flyers,0.557,0.623,0.491,0.627,118,3,0
Tommy Ivan,Detroit Red Wings,0.557,0.634,0.481,0.653,262,7,3
Brian Sutter,Boston Bruins,0.556,0.593,0.518,0.609,120,3,0
Darryl Sutter,Calgary Flames,0.556,0.586,0.524,0.609,74,3,0
Dave Tippett,Edmonton Oilers,0.556,0.536,0.575,0.597,95,3,0
John Torchetti,Minnesota Wild,0.556,0.538,0.571,0.574,15,1,0
Fred Shero,Philadelphia Flyers,0.556,0.737,0.376,0.642,308,7,2
Gerard Gallant,Vegas Golden Knights,0.554,0.615,0.49,0.601,118,3,0
Eddie Johnston,Pittsburgh Penguins,0.554,0.679,0.432,0.6,153,4,0
Peter Laviolette,Washington Capitals,0.553,0.531,0.575,0.615,89,3,0
Claude Julien,Boston Bruins,0.552,0.568,0.537,0.614,419,10,1
Cecil Hart,Montréal Canadiens,0.552,0.634,0.47,0.642,148,6,2
Alain Vigneault,New York Rangers,0.551,0.556,0.546,0.596,226,5,0
Dave Tippett,Dallas Stars,0.551,0.622,0.48,0.617,271,6,0
Ken Hitchcock,Dallas Stars,0.551,0.566,0.535,0.622,277,7,1
Michel Therrien,Montréal Canadiens,0.551,0.585,0.517,0.604,194,5,0
Peter Laviolette,Nashville Predators,0.55,0.611,0.489,0.616,248,6,0
Derek Lalonde,Detroit Red Wings,0.55,0.636,0.444,0.65,11,1,0
Mike Yeo,St. Louis Blues,0.549,0.561,0.537,0.59,73,3,0
Peter DeBoer,San Jose Sharks,0.548,0.572,0.525,0.596,198,5,0
Fred Creighton,Boston Bruins,0.548,0.639,0.46,0.637,40,1,0
Toe Blake,Montréal Canadiens,0.547,0.643,0.451,0.634,500,13,8
Dick Irvin,Chicago Blackhawks,0.545,0.591,0.5,0.58,24,1,0
Peter DeBoer,Dallas Stars,0.545,0.6,0.5,0.636,12,1,0
Pat Burns,Montréal Canadiens,0.544,0.662,0.425,0.609,174,4,0
John Tortorella,New York Rangers,0.543,0.567,0.519,0.589,171,5,0
Pat Burns,New Jersey Devils,0.543,0.573,0.512,0.634,89,2,1
John Hynes,Nashville Predators,0.543,0.596,0.489,0.575,101,4,0
Gerry Cheevers,Boston Bruins,0.543,0.624,0.46,0.604,204,5,0
Claude Ruel,Montréal Canadiens,0.543,0.639,0.449,0.631,95,3,1
Tony Granato,Colorado Avalanche,0.541,0.552,0.53,0.647,72,2,0
Guy Carbonneau,Montréal Canadiens,0.539,0.607,0.475,0.589,124,3,0
Bob Hartley,Colorado Avalanche,0.538,0.564,0.511,0.618,193,5,1
Pat Quinn,Philadelphia Flyers,0.538,0.641,0.435,0.63,141,4,0
Alex Romeril,Toronto St. Patricks,0.538,0.571,0.5,0.577,7,1,0
Bob Murray,Anaheim Ducks,0.538,0.6,0.455,0.558,14,1,0
Bill Barber,Philadelphia Flyers,0.537,0.582,0.493,0.621,73,2,0
Mike Keenan,Calgary Flames,0.537,0.585,0.488,0.585,88,2,0
