Season,GP,W,L,OT,Win %,Points,Point %,Playoff Round
1998-1999,82,28,47,,0.341,63,0.384,
1999-2000,82,28,40,7,0.341,70,0.427,
2000-2001,82,34,36,3,0.415,80,0.488,
2001-2002,82,28,41,0,0.341,69,0.421,
2002-2003,82,27,35,7,0.329,74,0.451,
2003-2004,82,38,29,4,0.463,91,0.555,1
2005-2006,82,49,25,8,0.598,106,0.646,1
2006-2007,82,51,23,8,0.622,110,0.671,1
2007-2008,82,41,32,9,0.5,91,0.555,1
2008-2009,82,40,34,8,0.488,88,0.537,
2009-2010,82,47,29,6,0.573,100,0.61,1
2010-2011,82,44,27,11,0.537,99,0.604,2
2011-2012,82,48,26,8,0.585,104,0.634,2
2012-2013,48,16,23,9,0.333,41,0.427,
2013-2014,82,38,32,12,0.463,88,0.537,
2014-2015,82,47,25,10,0.573,104,0.634,1
2015-2016,82,41,27,14,0.5,96,0.585,2
2016-2017,82,41,29,12,0.5,94,0.573,4
2017-2018,82,53,18,11,0.646,117,0.713,2
2018-2019,82,47,29,6,0.573,100,0.61,1
2019-2020,69,35,26,8,0.507,78,0.565,
2020-2021,56,31,23,2,0.554,64,0.571,1
2021-2022,82,45,30,7,0.549,97,0.591,1
2022-2023,28,12,12,4,0.429,28,0.5,
