GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Julien Brisebois,0.64,0.641,0.639,0.64,48,2,4,['Tampa Bay Lightning']
Pierre Dorion,0.579,0.667,0.5,0.579,11,0,1,['Ottawa Senators']
Steve Yzerman,0.573,0.548,0.6,0.573,47,0,8,['Tampa Bay Lightning']
Kelly McCrimmon,0.564,0.619,0.5,0.564,22,0,2,['Vegas Golden Knights']
Jim Nill,0.515,0.484,0.543,0.515,34,0,9,['Dallas Stars']
Chris Drury,0.5,0.8,0.2,0.5,10,0,1,['New York Rangers']
Lou Lamoriello,0.499,0.584,0.494,0.499,169,3,30,"['New York Islanders', 'Toronto Maple Leafs', 'New Jersey Devils']"
Brian MacLellan,0.494,0.533,0.455,0.5,44,1,8,['Washington Capitals']
Don Sweeney,0.493,0.486,0.5,0.493,36,0,6,['Boston Bruins']
Chuck Fletcher,0.483,0.483,0.355,0.483,25,0,7,"['Minnesota Wild', 'Philadelphia Flyers']"
Ken Holland,0.466,0.607,0.471,0.466,128,3,22,"['Edmonton Oilers', 'Detroit Red Wings']"
David Poile,0.44,0.516,0.361,0.44,106,0,33,"['Washington Capitals', 'Nashville Predators']"
Kyle Dubas,0.423,0.357,0.5,0.423,11,0,4,['Toronto Maple Leafs']
Doug Armstrong,0.419,0.391,0.493,0.421,61,1,16,"['St. Louis Blues', 'Dallas Stars']"
Kevin Cheveldayoff,0.41,0.35,0.474,0.41,16,0,7,['Winnipeg Jets']
Jarmo Kekalainen,0.405,0.353,0.45,0.405,15,0,7,['Columbus Blue Jackets']
Brad Treliving,0.381,0.5,0.25,0.381,16,0,8,['Calgary Flames']
Bill Zito,0.375,0.375,0.375,0.375,6,0,2,['Florida Panthers']
Ron Hextall,0.359,0.333,0.385,0.359,9,0,5,"['Philadelphia Flyers', 'Pittsburgh Penguins']"
Bill Guerin,0.353,0.25,0.444,0.353,6,0,3,['Minnesota Wild']
Rob Blake,0.273,0.2,0.333,0.273,3,0,5,['Los Angeles Kings']
Don Waddell,0.25,0.63,0.28,0.25,24,0,5,"['Carolina Hurricanes', 'Atlanta Thrashers']"
