GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Julien Brisebois,0.661,0.708,0.614,0.696,211,2,5,['Tampa Bay Lightning']
Bill Zito,0.645,0.738,0.553,0.689,109,0,3,['Florida Panthers']
Brian MacLellan,0.599,0.617,0.582,0.654,389,1,9,['Washington Capitals']
Kelly McCrimmon,0.598,0.603,0.592,0.637,144,0,4,['Vegas Golden Knights']
Don Sweeney,0.595,0.625,0.564,0.65,336,0,8,['Boston Bruins']
Chris Drury,0.595,0.576,0.614,0.642,69,0,3,['New York Rangers']
Kyle Dubas,0.592,0.631,0.553,0.649,190,0,5,['Toronto Maple Leafs']
Bill Guerin,0.589,0.667,0.509,0.633,139,0,4,['Minnesota Wild']
Doug Armstrong,0.562,0.621,0.508,0.627,745,1,20,"['Dallas Stars', 'St. Louis Blues']"
Ken Holland,0.561,0.599,0.504,0.616,1063,3,26,"['Edmonton Oilers', 'Detroit Red Wings']"
Ron Hextall,0.541,0.58,0.447,0.609,261,0,8,"['Pittsburgh Penguins', 'Philadelphia Flyers']"
Chris MacFarland,0.536,0.462,0.6,0.571,15,0,1,['Colorado Avalanche']
Brad Treliving,0.52,0.546,0.494,0.568,337,0,9,['Calgary Flames']
Kevin Cheveldayoff,0.512,0.557,0.466,0.562,440,0,12,['Winnipeg Jets']
Jim Nill,0.512,0.571,0.454,0.573,374,0,10,['Dallas Stars']
Lou Lamoriello,0.507,0.576,0.445,0.57,1380,3,36,"['New Jersey Devils', 'Toronto Maple Leafs', 'New York Islanders']"
David Poile,0.499,0.557,0.438,0.558,1503,0,40,"['Nashville Predators', 'Washington Capitals']"
Jarmo Kekalainen,0.496,0.535,0.456,0.548,379,0,11,['Columbus Blue Jackets']
Don Waddell,0.489,0.469,0.409,0.55,499,0,16,"['Carolina Hurricanes', 'Atlanta Thrashers']"
Rob Blake,0.459,0.482,0.437,0.516,186,0,6,['Los Angeles Kings']
Steve Yzerman,0.443,0.567,0.411,0.5,421,0,12,"['Detroit Red Wings', 'Tampa Bay Lightning']"
Chuck Fletcher,0.409,0.531,0.42,0.482,502,0,15,"['Philadelphia Flyers', 'Florida Panthers', 'Minnesota Wild']"
Tom Fitzgerald,0.409,0.408,0.411,0.469,79,0,4,['New Jersey Devils']
Pierre Dorion,0.403,0.453,0.351,0.458,195,0,7,['Ottawa Senators']
Ron Francis,0.401,0.465,0.351,0.464,173,0,6,"['Seattle Kraken', 'Carolina Hurricanes']"
Kent Hughes,0.387,0.325,0.457,0.44,29,0,2,['Montréal Canadiens']
Patrik Allvin,0.379,0.486,0.5,0.415,36,0,3,"['Pittsburgh Penguins', 'Vancouver Canucks']"
Kevyn Adams,0.363,0.372,0.354,0.423,61,0,3,['Buffalo Sabres']
Bill Armstrong,0.351,0.347,0.356,0.403,58,0,3,['Arizona Coyotes']
Kyle Davidson,0.337,0.333,0.34,0.409,35,0,2,['Chicago Blackhawks']
Mike Grier,0.323,0.188,0.467,0.403,10,0,1,['San Jose Sharks']
Pat Verbeek,0.246,0.31,0.194,0.308,16,0,2,['Anaheim Ducks']
