GM,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Team
Bill Zito,0.665,0.759,0.57,0.706,105,3,0,Florida Panthers
Julien Brisebois,0.657,0.701,0.613,0.693,203,5,2,Tampa Bay Lightning
Chris MacFarland,0.611,0.5,0.7,0.639,11,1,0,Colorado Avalanche
Kelly McCrimmon,0.6,0.621,0.579,0.641,138,4,0,Vegas Golden Knights
Ron Hextall,0.599,0.625,0.573,0.653,88,3,0,Pittsburgh Penguins
Brian MacLellan,0.599,0.616,0.581,0.654,382,9,1,Washington Capitals
Don Waddell,0.597,0.636,0.561,0.649,184,5,0,Carolina Hurricanes
Don Sweeney,0.594,0.624,0.563,0.648,330,8,0,Boston Bruins
Chris Drury,0.594,0.596,0.593,0.641,63,3,0,New York Rangers
Kyle Dubas,0.585,0.622,0.548,0.643,182,5,0,Toronto Maple Leafs
Bill Guerin,0.584,0.658,0.509,0.63,132,4,0,Minnesota Wild
Ken Holland,0.572,0.579,0.565,0.609,131,4,0,Edmonton Oilers
Doug Armstrong,0.57,0.613,0.527,0.623,531,13,1,St. Louis Blues
Doug Armstrong,0.557,0.652,0.463,0.634,210,7,0,Dallas Stars
Ken Holland,0.548,0.601,0.495,0.619,925,22,3,Detroit Red Wings
Steve Yzerman,0.547,0.63,0.463,0.595,340,8,0,Tampa Bay Lightning
Lou Lamoriello,0.534,0.594,0.474,0.589,165,5,0,New York Islanders
Brad Treliving,0.523,0.544,0.502,0.569,333,9,0,Calgary Flames
Jim Nill,0.512,0.573,0.452,0.572,368,10,0,Dallas Stars
Lou Lamoriello,0.511,0.58,0.441,0.578,1093,28,3,New Jersey Devils
Chuck Fletcher,0.51,0.571,0.449,0.567,359,9,0,Minnesota Wild
Kevin Cheveldayoff,0.509,0.556,0.461,0.56,432,12,0,Winnipeg Jets
David Poile,0.503,0.563,0.444,0.559,594,15,0,Washington Capitals
Jarmo Kekalainen,0.499,0.538,0.459,0.551,376,11,0,Columbus Blue Jackets
David Poile,0.494,0.553,0.435,0.558,906,25,0,Nashville Predators
Patrik Allvin,0.483,0.5,0.467,0.567,29,2,0,Vancouver Canucks
Lou Lamoriello,0.48,0.52,0.439,0.547,118,3,0,Toronto Maple Leafs
Ron Hextall,0.47,0.557,0.383,0.553,165,5,0,Philadelphia Flyers
Rob Blake,0.459,0.487,0.432,0.514,181,6,0,Los Angeles Kings
Chuck Fletcher,0.437,0.489,0.385,0.502,124,5,0,Philadelphia Flyers
Ron Francis,0.415,0.484,0.346,0.5,130,4,0,Carolina Hurricanes
Tom Fitzgerald,0.404,0.413,0.396,0.462,74,4,0,New Jersey Devils
Pierre Dorion,0.397,0.45,0.342,0.452,188,7,0,Ottawa Senators
Kent Hughes,0.385,0.333,0.448,0.439,25,2,0,Montréal Canadiens
Ron Francis,0.376,0.415,0.333,0.421,38,2,0,Seattle Kraken
Don Waddell,0.376,0.405,0.346,0.443,308,11,0,Atlanta Thrashers
Bill Armstrong,0.359,0.329,0.386,0.407,56,3,0,Arizona Coyotes
Kyle Davidson,0.358,0.375,0.34,0.432,34,2,0,Chicago Blackhawks
Kevyn Adams,0.354,0.375,0.333,0.411,56,3,0,Buffalo Sabres
Steve Yzerman,0.342,0.414,0.268,0.406,78,4,0,Detroit Red Wings
Mike Grier,0.318,0.167,0.5,0.386,7,1,0,San Jose Sharks
Chuck Fletcher,0.286,0.286,0.286,0.384,16,1,0,Florida Panthers
Pat Verbeek,0.259,0.32,0.207,0.315,14,2,0,Anaheim Ducks
Patrik Allvin,0.25,0,0.25,0.25,1,1,0,Pittsburgh Penguins
