GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Sam Pollock,0.716,0.795,0.633,0.716,116,9,14,['Montréal Canadiens']
Milt Schmidt,0.66,0.731,0.583,0.66,33,2,5,['Boston Bruins']
Joe Sakic,0.635,0.656,0.613,0.643,40,1,5,['Colorado Avalanche']
Bill Torrey,0.607,0.708,0.51,0.607,119,4,16,['New York Islanders']
Serge Savard,0.595,0.671,0.513,0.595,94,2,11,['Montréal Canadiens']
Stan Bowman,0.592,0.7,0.483,0.592,71,3,11,['Chicago Blackhawks']
Peter Chiarelli,0.588,0.654,0.511,0.588,57,1,7,['Boston Bruins']
Pierre Lacroix,0.585,0.614,0.553,0.585,93,2,12,['Colorado Avalanche']
John Muckler,0.582,0.571,0.593,0.582,32,0,5,['Ottawa Senators']
Frank Selke Sr.,0.582,0.713,0.438,0.582,89,6,18,['Montréal Canadiens']
Steve Yzerman,0.573,0.548,0.6,0.573,47,0,8,['Tampa Bay Lightning']
Darcy Regier,0.564,0.612,0.519,0.564,57,0,14,['Buffalo Sabres']
Ray Shero,0.563,0.585,0.54,0.563,58,1,8,['Pittsburgh Penguins']
Tommy Gorman,0.559,0.679,0.472,0.567,36,5,12,"['Montréal Canadiens', 'Ottawa Senators (1917)']"
Ken Holland,0.556,0.629,0.486,0.556,119,3,19,['Detroit Red Wings']
Glen Sather,0.555,0.651,0.5,0.555,187,5,30,"['New York Rangers', 'Edmonton Oilers']"
Conn Smythe,0.541,0.568,0.512,0.549,93,7,26,['Toronto Maple Leafs']
Irving Grundman,0.54,0.545,0.533,0.54,20,1,5,['Montréal Canadiens']
Lou Lamoriello,0.54,0.584,0.496,0.54,136,3,25,['New Jersey Devils']
Bobby Clarke,0.536,0.573,0.49,0.536,106,0,17,"['Philadelphia Flyers', 'Philadelphia Flyers']"
Keith Allen,0.534,0.653,0.393,0.534,71,2,13,['Philadelphia Flyers']
Neil Smith,0.534,0.578,0.488,0.534,47,1,8,['New York Rangers']
Jay Feaster,0.533,0.522,0.545,0.533,24,1,5,['Tampa Bay Lightning']
Jim Rutherford,0.533,0.571,0.493,0.533,81,3,17,"['Carolina Hurricanes', 'Pittsburgh Penguins']"
Kevin Lowe,0.528,0.588,0.474,0.528,19,0,6,['Edmonton Oilers']
Jim Benning,0.522,0.455,0.583,0.522,12,0,6,['Vancouver Canucks']
Gerry McNamara,0.518,0.583,0.467,0.518,14,0,5,['Toronto Maple Leafs']
Bob Murray,0.518,0.545,0.487,0.518,43,0,10,['Anaheim Ducks']
Doug Wilson,0.517,0.602,0.43,0.517,90,0,16,['San Jose Sharks']
Jim Nill,0.515,0.484,0.543,0.515,34,0,9,['Dallas Stars']
Craig Patrick,0.514,0.57,0.495,0.514,108,2,17,"['New York Rangers', 'Pittsburgh Penguins']"
