GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Julien Brisebois,0.661,0.708,0.614,0.696,211,2,5,['Tampa Bay Lightning']
Sam Pollock,0.603,0.693,0.513,0.685,644,9,14,['Montréal Canadiens']
Milt Schmidt,0.602,0.728,0.476,0.685,230,2,5,['Boston Bruins']
Brian MacLellan,0.599,0.617,0.582,0.654,389,1,9,['Washington Capitals']
John Muckler,0.595,0.64,0.549,0.66,195,0,5,['Ottawa Senators']
Don Sweeney,0.595,0.625,0.564,0.65,336,0,8,['Boston Bruins']
Kyle Dubas,0.592,0.631,0.553,0.649,190,0,5,['Toronto Maple Leafs']
Irving Grundman,0.58,0.7,0.46,0.665,232,1,5,['Montréal Canadiens']
Mike Gillis,0.571,0.626,0.518,0.627,260,0,6,['Vancouver Canucks']
Tommy Gorman,0.565,0.692,0.419,0.602,263,5,14,"['Ottawa Senators (1917)', 'Montréal Canadiens']"
Doug Armstrong,0.562,0.621,0.508,0.627,745,1,20,"['Dallas Stars', 'St. Louis Blues']"
Peter Chiarelli,0.548,0.577,0.52,0.609,386,1,9,['Boston Bruins']
Ken Holland,0.548,0.601,0.495,0.619,925,3,22,['Detroit Red Wings']
Steve Yzerman,0.547,0.63,0.463,0.595,340,0,8,['Tampa Bay Lightning']
Doug Wilson,0.546,0.586,0.506,0.605,760,0,19,['San Jose Sharks']
Pierre Lacroix,0.545,0.583,0.507,0.623,473,2,12,['Colorado Avalanche']
Stan Bowman,0.537,0.583,0.491,0.597,493,3,13,['Chicago Blackhawks']
Bobby Clarke,0.528,0.595,0.459,0.596,714,0,19,"['Philadelphia Flyers', 'Philadelphia Flyers']"
Harry Sinden,0.524,0.596,0.451,0.593,1170,0,29,['Boston Bruins']
Keith Allen,0.522,0.67,0.373,0.612,564,2,14,['Philadelphia Flyers']
Lou Lamoriello,0.521,0.581,0.445,0.582,1262,3,33,"['New Jersey Devils', 'New York Islanders']"
Brad Treliving,0.52,0.546,0.494,0.568,337,0,9,['Calgary Flames']
Darryl Sutter,0.52,0.605,0.436,0.577,275,0,8,['Calgary Flames']
Bob Murray,0.516,0.575,0.457,0.578,511,0,14,['Anaheim Ducks']
Joe Sakic,0.515,0.567,0.463,0.565,318,1,8,['Colorado Avalanche']
Serge Savard,0.514,0.628,0.4,0.576,483,2,13,['Montréal Canadiens']
Kevin Cheveldayoff,0.512,0.557,0.466,0.562,440,0,12,['Winnipeg Jets']
Jim Nill,0.512,0.571,0.454,0.573,374,0,10,['Dallas Stars']
Ray Shero,0.511,0.575,0.491,0.566,530,1,13,"['Pittsburgh Penguins', 'New Jersey Devils']"
Bob Gainey,0.509,0.542,0.474,0.574,624,1,17,"['Montréal Canadiens', 'Dallas Stars']"
Frank Selke Sr.,0.506,0.624,0.389,0.601,623,6,18,['Montréal Canadiens']
Jim Rutherford,0.504,0.534,0.408,0.568,931,3,27,"['Carolina Hurricanes', 'Pittsburgh Penguins']"
Paul Holmgren,0.5,0.524,0.475,0.559,307,0,8,['Philadelphia Flyers']
Scotty Bowman,0.499,0.583,0.416,0.581,291,0,8,['Buffalo Sabres']
David Poile,0.499,0.557,0.438,0.558,1503,0,40,"['Nashville Predators', 'Washington Capitals']"
Marc Bergevin,0.499,0.529,0.468,0.557,344,0,10,['Montréal Canadiens']
Leo Dandurand,0.496,0.618,0.375,0.561,273,3,14,['Montréal Canadiens']
Jarmo Kekalainen,0.496,0.535,0.456,0.548,379,0,11,['Columbus Blue Jackets']
Jeff Gorton,0.494,0.524,0.464,0.549,223,0,6,['New York Rangers']
John Ferguson Jr.,0.491,0.541,0.443,0.559,145,0,5,['Toronto Maple Leafs']
Glen Sather,0.49,0.541,0.436,0.552,1319,5,35,"['New York Rangers', 'Edmonton Oilers']"
Don Waddell,0.489,0.469,0.409,0.55,499,0,16,"['Carolina Hurricanes', 'Atlanta Thrashers']"
Darcy Regier,0.485,0.536,0.434,0.554,590,0,17,['Buffalo Sabres']
Greg Sherman,0.484,0.532,0.436,0.535,182,0,5,['Colorado Avalanche']
George McPhee,0.48,0.546,0.413,0.549,613,0,17,['Washington Capitals']
Larry Pleau,0.476,0.528,0.423,0.553,468,0,13,['St. Louis Blues']
Dave Gill,0.476,0.56,0.393,0.556,128,1,7,['Ottawa Senators (1917)']
Jay Feaster,0.476,0.541,0.409,0.547,207,1,7,['Tampa Bay Lightning']
Conn Smythe,0.475,0.591,0.359,0.554,682,7,28,['Toronto Maple Leafs']
Bill Torrey,0.474,0.564,0.383,0.547,756,4,20,['New York Islanders']
Bobby Smith,0.471,0.514,0.429,0.545,168,0,5,['Phoenix Coyotes']
Punch Imlach,0.471,0.59,0.352,0.557,669,4,20,"['Toronto Maple Leafs', 'Buffalo Sabres']"
Chuck Fletcher,0.47,0.545,0.428,0.532,486,0,14,"['Philadelphia Flyers', 'Minnesota Wild']"
Charles Querrie,0.47,0.652,0.289,0.489,127,2,10,['Toronto St. Patricks']
Ron Hextall,0.47,0.557,0.383,0.553,165,0,5,['Philadelphia Flyers']
Art Ross,0.469,0.591,0.347,0.546,724,3,30,['Boston Bruins']
Don Maloney,0.463,0.514,0.412,0.525,326,0,9,['Arizona Coyotes']
Mike O'Connell,0.463,0.497,0.427,0.563,179,0,6,['Boston Bruins']
Rob Blake,0.459,0.482,0.437,0.516,186,0,6,['Los Angeles Kings']
Neil Smith,0.459,0.506,0.413,0.529,396,1,11,['New York Rangers']
