GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Stan Smyl,1.0,1.0,0,1.0,2,0,1,['Vancouver Canucks']
Julien Brisebois,0.661,0.708,0.614,0.696,211,2,5,['Tampa Bay Lightning']
Bill Zito,0.645,0.738,0.553,0.689,109,0,3,['Florida Panthers']
Sam Pollock,0.603,0.693,0.513,0.685,644,9,14,['Montréal Canadiens']
Brian MacLellan,0.599,0.617,0.582,0.654,389,1,9,['Washington Capitals']
Kelly McCrimmon,0.598,0.603,0.592,0.637,144,0,4,['Vegas Golden Knights']
Don Sweeney,0.595,0.625,0.564,0.65,336,0,8,['Boston Bruins']
Chris Drury,0.595,0.576,0.614,0.642,69,0,3,['New York Rangers']
Kyle Dubas,0.592,0.631,0.553,0.649,190,0,5,['Toronto Maple Leafs']
Bill Guerin,0.589,0.667,0.509,0.633,139,0,4,['Minnesota Wild']
Irving Grundman,0.58,0.7,0.46,0.665,232,1,5,['Montréal Canadiens']
Mike Gillis,0.571,0.626,0.518,0.627,260,0,6,['Vancouver Canucks']
Doug Armstrong,0.562,0.621,0.508,0.627,745,1,20,"['Dallas Stars', 'St. Louis Blues']"
Ken Holland,0.561,0.599,0.504,0.616,1063,3,26,"['Edmonton Oilers', 'Detroit Red Wings']"
George Kennedy,0.557,0.727,0.386,0.557,49,0,4,['Montréal Canadiens']
Bob McCammon,0.55,0.625,0.475,0.613,44,0,1,['Philadelphia Flyers']
Doug Wilson,0.546,0.586,0.506,0.605,760,0,19,['San Jose Sharks']
Pierre Lacroix,0.545,0.583,0.507,0.623,473,2,12,['Colorado Avalanche']
Ron Hextall,0.541,0.58,0.447,0.609,261,0,8,"['Pittsburgh Penguins', 'Philadelphia Flyers']"
Stan Bowman,0.537,0.583,0.491,0.597,493,3,13,['Chicago Blackhawks']
Chris MacFarland,0.536,0.462,0.6,0.571,15,0,1,['Colorado Avalanche']
John Muckler,0.53,0.593,0.474,0.593,333,0,9,"['Ottawa Senators', 'Buffalo Sabres']"
George McPhee,0.526,0.558,0.423,0.582,707,0,19,"['Washington Capitals', 'Vegas Golden Knights']"
Harry Sinden,0.524,0.596,0.451,0.593,1170,0,29,['Boston Bruins']
Keith Allen,0.522,0.67,0.373,0.612,564,2,14,['Philadelphia Flyers']
Brad Treliving,0.52,0.546,0.494,0.568,337,0,9,['Calgary Flames']
