GM,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Team
Sam Pollock,0.716,0.795,0.633,0.716,116,14,9,Montréal Canadiens
Jim Devellano,0.667,0.767,0.556,0.667,38,3,1,Detroit Red Wings
Milt Schmidt,0.66,0.731,0.583,0.66,33,5,2,Boston Bruins
Julien Brisebois,0.64,0.641,0.639,0.64,48,4,2,Tampa Bay Lightning
Joe Sakic,0.635,0.656,0.613,0.643,40,5,1,Colorado Avalanche
Brian Burke,0.628,0.652,0.6,0.628,27,3,1,Anaheim Ducks
Glen Sather,0.627,0.694,0.554,0.627,133,20,5,Edmonton Oilers
Bill Torrey,0.607,0.708,0.51,0.607,119,16,4,New York Islanders
Tommy Gorman,0.6,0.765,0.444,0.6,21,6,2,Montréal Canadiens
Serge Savard,0.595,0.671,0.513,0.595,94,11,2,Montréal Canadiens
George McPhee,0.593,0.692,0.5,0.593,16,2,0,Vegas Golden Knights
Stan Bowman,0.592,0.7,0.483,0.592,71,11,3,Chicago Blackhawks
Peter Chiarelli,0.588,0.654,0.511,0.588,57,7,1,Boston Bruins
Pierre Lacroix,0.585,0.614,0.553,0.585,93,12,2,Colorado Avalanche
Mike Keenan,0.583,0.583,0.583,0.583,14,2,0,Chicago Blackhawks
George Kennedy,0.583,1.0,0.375,0.625,7,2,0,Montréal Canadiens
John Muckler,0.582,0.571,0.593,0.582,32,5,0,Ottawa Senators
Frank Selke Sr.,0.582,0.713,0.438,0.582,89,18,6,Montréal Canadiens
Steve Yzerman,0.573,0.548,0.6,0.573,47,8,0,Tampa Bay Lightning
Lou Lamoriello,0.571,0.609,0.538,0.571,28,3,0,New York Islanders
Dean Lombardi,0.568,0.59,0.548,0.568,46,7,2,Los Angeles Kings
Bobby Clarke,0.567,0.643,0.5,0.567,17,2,0,Minnesota North Stars
Darcy Regier,0.564,0.612,0.519,0.564,57,14,0,Buffalo Sabres
Bob Gainey,0.564,0.633,0.489,0.564,53,8,1,Dallas Stars
Kelly McCrimmon,0.564,0.619,0.5,0.564,22,2,0,Vegas Golden Knights
Ray Shero,0.563,0.585,0.54,0.563,58,8,1,Pittsburgh Penguins
Fred Shero,0.556,0.667,0.467,0.556,15,2,0,New York Rangers
Ken Holland,0.556,0.629,0.486,0.556,119,19,3,Detroit Red Wings
Craig Patrick,0.555,0.581,0.528,0.555,81,11,2,Pittsburgh Penguins
Bobby Clarke,0.553,0.579,0.526,0.553,42,5,0,Philadelphia Flyers
Conn Smythe,0.541,0.568,0.512,0.549,93,26,7,Toronto Maple Leafs
Irving Grundman,0.54,0.545,0.533,0.54,20,5,1,Montréal Canadiens
Lou Lamoriello,0.54,0.584,0.496,0.54,136,25,3,New Jersey Devils
Jim Rutherford,0.54,0.579,0.5,0.54,40,6,2,Pittsburgh Penguins
Keith Allen,0.534,0.653,0.393,0.534,71,13,2,Philadelphia Flyers
Neil Smith,0.534,0.578,0.488,0.534,47,8,1,New York Rangers
Jay Feaster,0.533,0.522,0.545,0.533,24,5,1,Tampa Bay Lightning
Scotty Bowman,0.529,0.647,0.412,0.529,18,3,0,St. Louis Blues
Kevin Lowe,0.528,0.588,0.474,0.528,19,6,0,Edmonton Oilers
Eddie Gerard,0.526,0.429,0.8,0.632,10,3,1,Montreal Maroons
Jim Rutherford,0.526,0.564,0.487,0.526,41,11,1,Carolina Hurricanes
Jim Benning,0.522,0.455,0.583,0.522,12,6,0,Vancouver Canucks
Bobby Clarke,0.52,0.569,0.466,0.52,64,12,0,Philadelphia Flyers
Pat Quinn,0.52,0.6,0.44,0.52,26,4,0,Toronto Maple Leafs
Gerry McNamara,0.518,0.583,0.467,0.518,14,5,0,Toronto Maple Leafs
