GM,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Team
Stan Smyl,1.0,1.0,0,1.0,2,1,0,Vancouver Canucks
Julien Brisebois,0.661,0.708,0.614,0.696,211,5,2,Tampa Bay Lightning
Bill Zito,0.645,0.738,0.553,0.689,109,3,0,Florida Panthers
Jim Devellano,0.627,0.689,0.566,0.696,133,3,1,Detroit Red Wings
Ron Hextall,0.612,0.633,0.59,0.666,96,3,0,Pittsburgh Penguins
Don Waddell,0.603,0.641,0.567,0.656,191,5,0,Carolina Hurricanes
Sam Pollock,0.603,0.693,0.513,0.685,644,14,9,Montréal Canadiens
Milt Schmidt,0.602,0.728,0.476,0.685,230,5,2,Boston Bruins
Ray Shero,0.6,0.65,0.55,0.645,373,8,1,Pittsburgh Penguins
Brian MacLellan,0.599,0.617,0.582,0.654,389,9,1,Washington Capitals
Tommy Gorman,0.599,0.764,0.432,0.61,106,8,3,Ottawa Senators (1917)
Kelly McCrimmon,0.598,0.603,0.592,0.637,144,4,0,Vegas Golden Knights
John Muckler,0.595,0.64,0.549,0.66,195,5,0,Ottawa Senators
Don Sweeney,0.595,0.625,0.564,0.65,336,8,0,Boston Bruins
Chris Drury,0.595,0.576,0.614,0.642,69,3,0,New York Rangers
Kyle Dubas,0.592,0.631,0.553,0.649,190,5,0,Toronto Maple Leafs
Bill Guerin,0.589,0.667,0.509,0.633,139,4,0,Minnesota Wild
Irving Grundman,0.58,0.7,0.46,0.665,232,5,1,Montréal Canadiens
Ken Holland,0.575,0.583,0.567,0.613,138,4,0,Edmonton Oilers
George McPhee,0.573,0.646,0.5,0.616,94,2,0,Vegas Golden Knights
Mike Gillis,0.571,0.626,0.518,0.627,260,6,0,Vancouver Canucks
Jim Rutherford,0.568,0.656,0.479,0.625,276,7,2,Pittsburgh Penguins
Doug Armstrong,0.567,0.609,0.526,0.62,535,13,1,St. Louis Blues
Brian Burke,0.559,0.632,0.485,0.625,147,4,1,Anaheim Ducks
Doug Armstrong,0.557,0.652,0.463,0.634,210,7,0,Dallas Stars
George Kennedy,0.557,0.727,0.386,0.557,49,4,0,Montréal Canadiens
Bob McCammon,0.55,0.625,0.475,0.613,44,1,0,Philadelphia Flyers
Peter Chiarelli,0.548,0.577,0.52,0.609,386,9,1,Boston Bruins
Ken Holland,0.548,0.601,0.495,0.619,925,22,3,Detroit Red Wings
Steve Yzerman,0.547,0.63,0.463,0.595,340,8,0,Tampa Bay Lightning
Doug Wilson,0.546,0.586,0.506,0.605,760,19,0,San Jose Sharks
Pierre Lacroix,0.545,0.583,0.507,0.623,473,12,2,Colorado Avalanche
Rick Dudley,0.537,0.537,0.537,0.628,44,1,0,Ottawa Senators
Stan Bowman,0.537,0.583,0.491,0.597,493,13,3,Chicago Blackhawks
Chris MacFarland,0.536,0.462,0.6,0.571,15,1,0,Colorado Avalanche
Jim Rutherford,0.533,0.5,0.556,0.633,8,1,0,Vancouver Canucks
Bobby Clarke,0.533,0.637,0.429,0.582,256,6,0,Philadelphia Flyers
Lou Lamoriello,0.531,0.588,0.475,0.587,169,5,0,New York Islanders
Tommy Gorman,0.53,0.649,0.412,0.593,157,6,2,Montréal Canadiens
Dave Nonis,0.528,0.585,0.472,0.579,130,3,0,Vancouver Canucks
Harry Sinden,0.524,0.596,0.451,0.593,1170,29,0,Boston Bruins
Bobby Clarke,0.523,0.571,0.475,0.61,458,13,0,Philadelphia Flyers
Keith Allen,0.522,0.67,0.373,0.612,564,14,2,Philadelphia Flyers
Brad Treliving,0.52,0.546,0.494,0.568,337,9,0,Calgary Flames
Marshall Johnston,0.52,0.577,0.463,0.606,128,3,0,Ottawa Senators
Darryl Sutter,0.52,0.605,0.436,0.577,275,8,0,Calgary Flames
Bryan Murray,0.518,0.598,0.439,0.575,170,4,0,Detroit Red Wings
Mike Keenan,0.517,0.614,0.419,0.592,90,3,0,Chicago Blackhawks
Bob Murray,0.516,0.575,0.457,0.578,511,14,0,Anaheim Ducks
Joe Sakic,0.515,0.567,0.463,0.565,318,8,1,Colorado Avalanche
Pat Quinn,0.515,0.555,0.476,0.592,169,4,0,Toronto Maple Leafs
Serge Savard,0.514,0.628,0.4,0.576,483,13,2,Montréal Canadiens
Bob Gainey,0.513,0.566,0.46,0.569,241,7,0,Montréal Canadiens
Kevin Cheveldayoff,0.512,0.557,0.466,0.562,440,12,0,Winnipeg Jets
Jim Nill,0.512,0.571,0.454,0.573,374,10,0,Dallas Stars
Lou Lamoriello,0.511,0.58,0.441,0.578,1093,28,3,New Jersey Devils
Chuck Fletcher,0.51,0.571,0.449,0.567,359,9,0,Minnesota Wild
Patrik Allvin,0.507,0.486,0.529,0.58,35,2,0,Vancouver Canucks
Frank Selke Sr.,0.506,0.624,0.389,0.601,623,18,6,Montréal Canadiens
Bob Gainey,0.505,0.528,0.483,0.579,383,10,1,Dallas Stars
Les Jackson,0.503,0.533,0.472,0.554,74,2,0,Dallas Stars
Brett Hull,0.503,0.533,0.472,0.554,74,2,0,Dallas Stars
David Poile,0.503,0.563,0.444,0.559,594,15,0,Washington Capitals
Georges Boucher,0.5,0.667,0.333,0.542,6,1,0,Montreal Maroons
John Andersen,0.5,0.5,0.5,0.589,28,1,0,Buffalo Sabres
Paul Holmgren,0.5,0.524,0.475,0.559,307,8,0,Philadelphia Flyers
Glen Sather,0.499,0.519,0.479,0.556,556,15,0,New York Rangers
Scotty Bowman,0.499,0.583,0.416,0.581,291,8,0,Buffalo Sabres
Marc Bergevin,0.499,0.529,0.468,0.557,344,10,0,Montréal Canadiens
Leo Dandurand,0.496,0.618,0.375,0.561,273,14,3,Montréal Canadiens
Jarmo Kekalainen,0.496,0.535,0.456,0.548,379,11,0,Columbus Blue Jackets
Jeff Gorton,0.494,0.524,0.464,0.549,223,6,0,New York Rangers
David Poile,0.494,0.553,0.435,0.557,909,25,0,Nashville Predators
John Ferguson Jr.,0.491,0.541,0.443,0.559,145,5,0,Toronto Maple Leafs
Clem Loughlin,0.49,0.562,0.417,0.557,47,2,0,Chicago Blackhawks
Dean Lombardi,0.49,0.544,0.435,0.549,425,11,2,Los Angeles Kings
Bob Pulford,0.489,0.505,0.473,0.557,179,5,0,Chicago Blackhawks
Emile Francis,0.489,0.572,0.407,0.567,420,12,0,New York Rangers
Francois Giguere,0.488,0.545,0.431,0.526,120,3,0,Colorado Avalanche
Dunc Munro,0.487,0.5,0.474,0.553,37,2,0,Montreal Maroons
Joe Nieuwendyk,0.486,0.531,0.442,0.544,143,4,0,Dallas Stars
Jeff Solomon,0.486,0.5,0.474,0.571,17,1,0,Anaheim Ducks
Darcy Regier,0.485,0.536,0.434,0.554,590,17,0,Buffalo Sabres
Greg Sherman,0.484,0.532,0.436,0.535,182,5,0,Colorado Avalanche
Bob Pulford,0.483,0.5,0.464,0.534,28,1,0,Chicago Blackhawks
Bryan Murray,0.481,0.52,0.443,0.543,339,9,0,Ottawa Senators
Glen Sather,0.481,0.557,0.405,0.547,763,20,5,Edmonton Oilers
George McPhee,0.48,0.546,0.413,0.549,613,17,0,Washington Capitals
Lou Lamoriello,0.48,0.52,0.439,0.547,118,3,0,Toronto Maple Leafs
Jake Milford,0.48,0.561,0.397,0.57,141,4,0,Los Angeles Kings
Punch Imlach,0.478,0.592,0.364,0.561,365,11,4,Toronto Maple Leafs
Larry Pleau,0.476,0.528,0.423,0.553,468,13,0,St. Louis Blues
Dave Gill,0.476,0.56,0.393,0.556,128,7,1,Ottawa Senators (1917)
Jay Feaster,0.476,0.541,0.409,0.547,207,7,1,Tampa Bay Lightning
Conn Smythe,0.475,0.591,0.359,0.554,682,28,7,Toronto Maple Leafs
Bill Torrey,0.474,0.564,0.383,0.547,756,20,4,New York Islanders
Cliff Fletcher,0.474,0.574,0.375,0.551,719,19,1,Calgary Flames
Tony Esposito,0.472,0.574,0.365,0.514,50,2,0,Pittsburgh Penguins
Bobby Smith,0.471,0.514,0.429,0.545,168,5,0,Phoenix Coyotes
Charles Querrie,0.47,0.652,0.289,0.489,127,10,2,Toronto St. Patricks
Ron Hextall,0.47,0.557,0.383,0.553,165,5,0,Philadelphia Flyers
Scotty Bowman,0.47,0.591,0.348,0.567,108,3,0,St. Louis Blues
Art Ross,0.469,0.591,0.347,0.546,724,30,3,Boston Bruins
John Muckler,0.466,0.541,0.392,0.525,138,4,0,Buffalo Sabres
Pierre Gauthier,0.464,0.484,0.444,0.536,84,3,0,Montréal Canadiens
Don Maloney,0.463,0.514,0.412,0.525,326,9,0,Arizona Coyotes
Punch Imlach,0.463,0.588,0.338,0.554,304,9,0,Buffalo Sabres
Jacques Martin,0.463,0.512,0.415,0.537,114,3,0,Florida Panthers
Peter Chiarelli,0.463,0.503,0.422,0.507,137,4,0,Edmonton Oilers
Mike O'Connell,0.463,0.497,0.427,0.563,179,6,0,Boston Bruins
Brian Burke,0.462,0.538,0.385,0.49,24,1,0,Calgary Flames
Mike Keenan,0.46,0.469,0.451,0.528,75,3,0,St. Louis Blues
Craig Patrick,0.46,0.542,0.379,0.526,575,17,2,Pittsburgh Penguins
Rob Blake,0.459,0.482,0.437,0.516,186,6,0,Los Angeles Kings
Neil Smith,0.459,0.506,0.413,0.529,396,11,1,New York Rangers
Jack Button,0.458,0.576,0.339,0.538,54,2,0,Pittsburgh Penguins
Jack Adams,0.458,0.568,0.348,0.547,913,35,7,Detroit Red Wings
Kevin Lowe,0.458,0.523,0.394,0.54,263,8,0,Edmonton Oilers
Doug Risebrough,0.458,0.547,0.373,0.532,141,5,0,Calgary Flames
Ken Dryden,0.457,0.476,0.439,0.506,75,2,0,Toronto Maple Leafs
Fred Shero,0.456,0.494,0.418,0.522,82,3,0,New York Rangers
Ron Caron,0.453,0.545,0.36,0.518,402,11,0,St. Louis Blues
Dale Tallon,0.452,0.494,0.409,0.522,312,10,0,Florida Panthers
Paul Fenton,0.451,0.39,0.512,0.506,37,1,0,Minnesota Wild
Mike Keenan,0.451,0.61,0.293,0.518,37,1,0,Florida Panthers
Jay Feaster,0.449,0.519,0.376,0.529,92,4,0,Calgary Flames
Eddie Gerard,0.449,0.472,0.427,0.517,80,5,1,Montreal Maroons
Gerry Meehan,0.449,0.548,0.349,0.516,243,7,0,Buffalo Sabres
Garth Snow,0.447,0.48,0.415,0.512,425,12,0,New York Islanders
Doug Risebrough,0.447,0.524,0.369,0.529,293,9,0,Minnesota Wild
Tommy Ivan,0.446,0.536,0.355,0.532,752,23,1,Chicago Blackhawks
Phil Esposito,0.446,0.508,0.383,0.5,107,3,0,New York Rangers
Brian Burke,0.445,0.476,0.415,0.539,219,6,0,Vancouver Canucks
Craig Patrick,0.444,0.519,0.367,0.509,204,6,0,New York Rangers
Emile Francis,0.444,0.521,0.367,0.487,213,6,0,Hartford Whalers
Sid Abel,0.444,0.58,0.307,0.517,272,9,0,Detroit Red Wings
Dave Nonis,0.443,0.557,0.33,0.493,94,3,0,Toronto Maple Leafs
Dave Taylor,0.442,0.497,0.387,0.522,290,9,0,Los Angeles Kings
Jim Rutherford,0.44,0.494,0.385,0.511,655,20,1,Carolina Hurricanes
Cliff Fletcher,0.439,0.526,0.352,0.502,202,6,0,Toronto Maple Leafs
Cliff Fletcher,0.436,0.379,0.5,0.518,24,2,0,Toronto Maple Leafs
Dale Tallon,0.436,0.488,0.384,0.5,143,4,0,Chicago Blackhawks
Jim Benning,0.432,0.47,0.395,0.487,242,8,0,Vancouver Canucks
Maurice Filion,0.432,0.522,0.342,0.499,311,9,0,Quebec Nordiques
Chuck Fletcher,0.43,0.483,0.378,0.497,127,5,0,Philadelphia Flyers
Ron Caron,0.429,0.4,0.458,0.531,21,1,0,St. Louis Blues
Tom Rowe,0.427,0.463,0.39,0.494,35,1,0,Florida Panthers
Eddie Gerard,0.427,0.521,0.333,0.516,41,2,0,Montreal Maroons
Jim Gregory,0.424,0.52,0.327,0.506,334,10,0,Toronto Maple Leafs
Rogie Vachon,0.424,0.496,0.351,0.483,283,9,0,Los Angeles Kings
Rejean Houle,0.423,0.46,0.387,0.499,180,6,0,Montréal Canadiens
Brian Burke,0.422,0.438,0.405,0.49,129,4,0,Toronto Maple Leafs
Ray Shero,0.422,0.452,0.392,0.487,157,5,0,New Jersey Devils
Lester Patrick,0.421,0.467,0.375,0.505,395,20,3,New York Rangers
Bryan Murray,0.421,0.5,0.341,0.521,69,2,0,Anaheim Ducks
Bob Pulford,0.42,0.537,0.304,0.495,437,13,0,Chicago Blackhawks
Wren Blair,0.419,0.538,0.302,0.5,44,2,0,Pittsburgh Penguins
Tommy Gorman,0.417,0.479,0.354,0.495,80,4,1,Montreal Maroons
Russ Farwell,0.415,0.5,0.329,0.479,136,4,0,Philadelphia Flyers
Rick Dudley,0.415,0.415,0.415,0.488,34,1,0,Atlanta Thrashers
Ron Francis,0.415,0.484,0.346,0.5,130,4,0,Carolina Hurricanes
John Chayka,0.415,0.455,0.375,0.475,131,4,0,Arizona Coyotes
Pat Quinn,0.413,0.457,0.368,0.475,328,11,0,Vancouver Canucks
Scott Howson,0.411,0.477,0.344,0.481,174,6,0,Columbus Blue Jackets
Tom Fitzgerald,0.409,0.408,0.411,0.469,79,4,0,New Jersey Devils
Mike Keenan,0.406,0.529,0.267,0.5,13,1,0,Vancouver Canucks
Lou Nanne,0.403,0.484,0.322,0.487,334,11,0,Minnesota North Stars
Mike Smith,0.403,0.484,0.323,0.496,102,4,0,Chicago Blackhawks
Pierre Dorion,0.403,0.453,0.351,0.458,195,7,0,Ottawa Senators
Bryan Murray,0.403,0.451,0.355,0.496,199,7,0,Florida Panthers
Don Maloney,0.402,0.462,0.342,0.458,96,4,0,New York Islanders
Ned Harkness,0.401,0.556,0.24,0.474,99,4,0,Detroit Red Wings
